OBJECTID;Id;Lon;Lat;Z_DSM;BEAR_PREV;DIST_PREV_m;Z_sampled;dZ;POINT_X;POINT_Y;POINT_Z
57;57;39.03444851;51.50549046;92.4451;182.408;9.3778;91.3534;-1.0917;39.03444851;51.50549046;0
58;58;39.03444412;51.50542537;91.3139;182.408;7.2486;91.3534;0.0395;39.03444412;51.50542537;0
59;59;39.03443872;51.50534525;90.8758;182.408;8.9216;91.5125;0.6367;39.03443872;51.50534525;0
60;60;39.03443375;51.50527152;90.6939;182.408;8.2107;91.5125;0.8186;39.03443375;51.50527152;0
61;61;39.0344286;51.50519506;91.0476;182.408;8.5147;91.5125;0.4649;39.0344286;51.50519506;0
62;62;39.03442401;51.50512686;90.6667;182.408;7.5941;91.234;0.5673;39.03442401;51.50512686;0
63;63;39.03441938;51.50505819;91.3693;182.408;7.6467;91.234;-0.1353;39.03441938;51.50505819;0
64;64;39.03441457;51.50498681;92.6884;182.408;7.9483;91.234;-1.4544;39.03441457;51.50498681;0
65;65;39.03440959;51.50491289;89.9296;182.408;8.2319;91.234;1.3044;39.03440959;51.50491289;0
66;66;39.03440466;51.50483972;92.7662;182.408;8.1482;91.0577;-1.7085;39.03440466;51.50483972;0
67;67;39.03440009;51.50477195;90.8438;182.408;7.546;91.0577;0.2139;39.03440009;51.50477195;0
68;68;39.03439493;51.50469536;90.6667;182.408;8.5294;91.0577;0.391;39.03439493;51.50469536;0
69;69;39.03439062;51.50463134;90.338;182.408;7.129;91.0577;0.7197;39.03439062;51.50463134;0
70;70;39.03438514;51.50455002;91.6068;182.408;9.0552;91.2025;-0.4043;39.03438514;51.50455002;0
71;71;39.03437953;51.50446681;90.9424;182.408;9.2659;91.2025;0.2601;39.03437953;51.50446681;0
72;72;39.0343752;51.50440262;92.282;182.408;7.1476;91.2025;-1.0795;39.0343752;51.50440262;0
73;73;39.03437083;51.50433773;90.4076;182.408;7.2258;91.2025;0.7949;39.03437083;51.50433773;0
74;74;39.03436533;51.50425606;90.4107;182.408;9.0953;91.4482;1.0375;39.03436533;51.50425606;0
75;75;39.03436065;51.50418658;90.6858;182.408;7.7367;91.4482;0.7624;39.03436065;51.50418658;0
76;76;39.03435573;51.50411359;90.3282;182.408;8.1273;91.4482;1.12;39.03435573;51.50411359;0
77;77;39.0343502;51.50403154;90.9236;182.408;9.1368;91.4482;0.5246;39.0343502;51.50403154;0
78;78;39.03434556;51.50396272;91.3976;182.4081;7.6635;91.2041;-0.1935;39.03434556;51.50396272;0
79;79;39.03434097;51.50389454;91.2665;182.4081;7.5923;91.2041;-0.0624;39.03434097;51.50389454;0
80;80;39.03433629;51.50382513;91.4601;182.4081;7.7293;91.2041;-0.256;39.03433629;51.50382513;0
81;81;39.03433178;51.50375815;92.1823;182.4081;7.4588;91.2041;-0.9782;39.03433178;51.50375815;0
82;82;39.0343261;51.50367394;91.5971;182.4081;9.3776;91.1166;-0.4805;39.0343261;51.50367394;0
83;83;39.03432051;51.50359093;90.3289;182.4081;9.2436;91.1166;0.7877;39.03432051;51.50359093;0
84;84;39.03431561;51.50351822;92.7195;182.4081;8.097;91.1166;-1.6029;39.03431561;51.50351822;0
85;85;39.0343112;51.50345284;90.156;182.4081;7.2805;91.0014;0.8454;39.0343112;51.50345284;0
86;86;39.03427624;51.50338904;90.2767;198.8823;7.5016;91.3827;1.106;39.03427624;51.50338904;0
87;87;39.03422747;51.50332529;91.9106;205.5223;7.8595;91.3827;-0.5279;39.03422747;51.50332529;0
88;88;39.03418177;51.50326555;92.6383;205.5223;7.3653;91.3827;-1.2556;39.03418177;51.50326555;0
89;89;39.03414182;51.50321333;90.5999;205.5224;6.4381;91.3827;0.7828;39.03414182;51.50321333;0
90;90;39.03409388;51.50315067;92.6133;205.5224;7.7259;91.2512;-1.3621;39.03409388;51.50315067;0
91;91;39.03405082;51.50309439;90.557;205.5224;6.9381;91.2512;0.6942;39.03405082;51.50309439;0
92;92;39.03400586;51.50303562;92.3565;205.5224;7.2462;91.3508;-1.0057;39.03400586;51.50303562;0
93;93;39.03395707;51.50297184;90.9117;205.5225;7.8631;91.3508;0.4391;39.03395707;51.50297184;0
94;94;39.03391005;51.50291038;90.8759;205.5225;7.5774;91.3369;0.461;39.03391005;51.50291038;0
95;95;39.03386916;51.50285693;91.5711;205.5225;6.5893;91.3369;-0.2342;39.03386916;51.50285693;0
96;96;39.03383042;51.5028063;91.6655;205.5226;6.2426;91.3369;-0.3286;39.03383042;51.5028063;0
97;97;39.03378471;51.50274654;91.2045;205.5226;7.3676;91.3369;0.1324;39.03378471;51.50274654;0
98;98;39.03373351;51.50267962;91.7528;205.5226;8.2504;91.3369;-0.4159;39.03373351;51.50267962;0
99;99;39.03368521;51.50261649;92.0826;205.5227;7.7838;91.4409;-0.6417;39.03368521;51.50261649;0
100;100;39.03363439;51.50255006;91.2721;205.5227;8.1903;91.4409;0.1688;39.03363439;51.50255006;0
101;101;39.03359538;51.50249907;92.9222;205.5227;6.2857;91.4409;-1.4813;39.03359538;51.50249907;0
102;102;39.03354584;51.50243431;90.4798;205.5227;7.9841;91.4409;0.9611;39.03354584;51.50243431;0
103;103;39.03349742;51.50237102;90.8662;205.5228;7.8028;91.4409;0.5747;39.03349742;51.50237102;0
104;104;39.03345404;51.50231431;91.6895;205.5228;6.9918;91.4276;-0.2619;39.03345404;51.50231431;0
105;105;39.03341076;51.50225775;90.9501;205.5228;6.9735;91.4276;0.4775;39.03341076;51.50225775;0
106;106;39.03336328;51.50219568;92.1219;205.5229;7.653;91.4276;-0.6943;39.03336328;51.50219568;0
107;107;39.03332239;51.50214224;91.8655;205.5229;6.5887;91.4276;-0.4379;39.03332239;51.50214224;0
108;108;39.0332817;51.50208905;90.1132;205.5229;6.5569;91.4276;1.3144;39.0332817;51.50208905;0
109;109;39.03323883;51.50203301;91.0041;205.5229;6.9091;91.5605;0.5564;39.03323883;51.50203301;0
110;110;39.03319468;51.50197531;90.6606;205.523;7.1149;91.5605;0.8999;39.03319468;51.50197531;0
111;111;39.03315562;51.50192424;93.1712;205.523;6.2959;91.8465;-1.3247;39.03315562;51.50192424;0
112;112;39.03311083;51.5018657;92.5062;205.523;7.2175;91.8465;-0.6597;39.03311083;51.5018657;0
113;113;39.03305982;51.50179902;90.4633;205.5231;8.2212;91.533;1.0697;39.03305982;51.50179902;0
114;114;39.0330138;51.50173887;90.8643;205.5231;7.4152;91.533;0.6687;39.0330138;51.50173887;0
115;115;39.03297064;51.50168245;93.0242;205.5231;6.9561;91.533;-1.4912;39.03297064;51.50168245;0
116;116;39.03292858;51.50162747;90.3962;205.5231;6.7786;91.533;1.1368;39.03292858;51.50162747;0
117;117;39.0328887;51.50157535;90.2199;205.5232;6.4257;91.533;1.3131;39.0328887;51.50157535;0
118;118;39.03284001;51.50151171;91.6353;205.5232;7.8465;91.5134;-0.1219;39.03284001;51.50151171;0
119;119;39.03279386;51.50145138;90.164;205.5232;7.4376;91.5134;1.3494;39.03279386;51.50145138;0
120;120;39.03274635;51.50138927;91.6324;205.5233;7.6577;91.5134;-0.119;39.03274635;51.50138927;0
121;121;39.03269668;51.50132435;91.1584;205.5233;8.0046;91.5134;0.355;39.03269668;51.50132435;0
122;122;39.03265782;51.50127356;92.2229;205.5233;6.2613;91.5134;-0.7095;39.03265782;51.50127356;0
123;123;39.0326132;51.50121523;92.2668;205.5233;7.1915;91.3574;-0.9094;39.0326132;51.50121523;0
124;124;39.03256867;51.50115702;92.3718;205.5234;7.1762;91.3574;-1.0144;39.03256867;51.50115702;0
125;125;39.03252084;51.5010945;92.6788;205.5234;7.7081;91.3574;-1.3214;39.03252084;51.5010945;0
126;126;39.03247141;51.5010299;90.4043;205.5234;7.9652;91.3574;0.9531;39.03247141;51.5010299;0
127;127;39.03242963;51.50097529;92.9696;205.5235;6.7331;91.3574;-1.6122;39.03242963;51.50097529;0
128;128;39.03239;51.50092348;91.5095;205.5235;6.3876;91.4689;-0.0406;39.03239;51.50092348;0
129;129;39.03234989;51.50087105;91.16;205.5235;6.4633;91.3356;0.1756;39.03234989;51.50087105;0
130;130;39.03230528;51.50081273;92.4711;205.5235;7.1901;91.3356;-1.1355;39.03230528;51.50081273;0
131;131;39.03225549;51.50074766;92.5744;205.5236;8.0227;91.3356;-1.2388;39.03225549;51.50074766;0
132;132;39.03220916;51.5006871;91.5052;205.5236;7.4669;91.3822;-0.123;39.03220916;51.5006871;0
133;133;39.03216057;51.50062359;91.8981;205.5236;7.83;91.3822;-0.5159;39.03216057;51.50062359;0
134;134;39.03212125;51.50057219;91.5046;205.5237;6.3375;91.3822;-0.1224;39.03212125;51.50057219;0
135;135;39.03207331;51.50050953;92.0871;205.5237;7.7249;91.3822;-0.7049;39.03207331;51.50050953;0
136;136;39.03203227;51.50045588;91.476;205.5237;6.6144;91.3822;-0.0938;39.03203227;51.50045588;0
137;137;39.03198458;51.50039355;90.3477;205.5237;7.6853;91.197;0.8493;39.03198458;51.50039355;0
138;138;39.03194045;51.50033586;91.4409;205.5238;7.1127;91.197;-0.2439;39.03194045;51.50033586;0
139;139;39.03189929;51.50028205;89.8083;205.5238;6.6332;91.197;1.3887;39.03189929;51.50028205;0
140;140;39.03185836;51.50022856;90.8656;205.5238;6.5957;91.197;0.3314;39.03185836;51.50022856;0
141;141;39.03180854;51.50016343;91.4625;205.5239;8.0292;91.197;-0.2655;39.03180854;51.50016343;0
142;142;39.03176082;51.50010106;90.2658;205.5239;7.6905;91.106;0.8402;39.03176082;51.50010106;0
143;143;39.03172149;51.50004965;92.4264;205.5239;6.3376;91.106;-1.3204;39.03172149;51.50004965;0
144;144;39.0316787;51.49999372;92.1412;205.5239;6.8955;91.106;-1.0352;39.0316787;51.49999372;0
145;145;39.031634;51.49993529;91.777;205.524;7.2039;91.106;-0.671;39.031634;51.49993529;0
146;146;39.03158873;51.49987612;92.4174;205.524;7.2954;91.106;-1.3114;39.03158873;51.49987612;0
147;147;39.03154252;51.49981571;91.5762;205.524;7.4478;91.3126;-0.2636;39.03154252;51.49981571;0
148;148;39.03149541;51.49975413;89.8069;205.5241;7.5922;91.1352;1.3283;39.03149541;51.49975413;0
149;149;39.03144795;51.4996921;89.6681;205.5241;7.6475;91.1352;1.4671;39.03144795;51.4996921;0
150;150;39.03139953;51.49962881;92.4951;205.5241;7.8031;91.1352;-1.3599;39.03139953;51.49962881;0
151;151;39.03136034;51.49957758;90.6948;205.5241;6.3166;91.1014;0.4066;39.03136034;51.49957758;0
152;152;39.0313195;51.4995242;90.5729;205.5242;6.5816;91.1014;0.5285;39.0313195;51.4995242;0
153;153;39.03127945;51.49947184;90.3597;205.5242;6.4545;91.1014;0.7417;39.03127945;51.49947184;0
154;154;39.03124015;51.49942048;89.8366;205.5242;6.3331;91.1014;1.2648;39.03124015;51.49942048;0
155;155;39.03118896;51.49935357;92.1767;205.5242;8.2493;91.1014;-1.0753;39.03118896;51.49935357;0
156;156;39.0311422;51.49929245;89.421;205.5243;7.5355;91.4706;2.0496;39.0311422;51.49929245;0
157;157;39.03109568;51.49923163;90.6786;205.5243;7.4982;91.4706;0.792;39.03109568;51.49923163;0
158;158;39.03105339;51.49917636;91.3873;205.5243;6.8147;91.4706;0.0833;39.03105339;51.49917636;0
159;159;39.03100851;51.4991177;91.3612;205.5244;7.2323;91.4706;0.1094;39.03100851;51.4991177;0
160;160;39.03096944;51.49906662;90.1615;205.5244;6.2968;91.2205;1.059;39.03096944;51.49906662;0
161;161;39.03092663;51.49901066;90.1708;205.5244;6.8997;90.8526;0.6818;39.03092663;51.49901066;0
162;162;39.0308753;51.49894358;92.4038;205.5245;8.271;90.8526;-1.5512;39.0308753;51.49894358;0
163;163;39.03082448;51.49887714;91.9104;205.5245;8.1904;90.8526;-1.0578;39.03082448;51.49887714;0
164;164;39.03078526;51.49882588;92.3379;205.5245;6.3209;90.8526;-1.4853;39.03078526;51.49882588;0
165;165;39.03073691;51.49876267;92.1529;205.5245;7.7926;90.8526;-1.3003;39.03073691;51.49876267;0
166;166;39.03069254;51.49870468;91.6712;205.5246;7.1496;91.1352;-0.536;39.03069254;51.49870468;0
167;167;39.03065375;51.49865397;91.3195;205.5246;6.252;91.1352;-0.1843;39.03065375;51.49865397;0
168;168;39.03060596;51.4985915;90.3792;205.5246;7.7018;91.1352;0.756;39.03060596;51.4985915;0
169;169;39.03056431;51.49853706;90.2357;205.5246;6.7121;91.1352;0.8995;39.03056431;51.49853706;0
170;170;39.0305187;51.49847744;90.9359;205.5247;7.3505;91.1352;0.1993;39.0305187;51.49847744;0
171;171;39.03047733;51.49842337;91.9289;205.5247;6.6664;90.5951;-1.3338;39.03047733;51.49842337;0
172;172;39.03042861;51.49835968;92.1978;205.5247;7.8523;90.5951;-1.6027;39.03042861;51.49835968;0
173;173;39.030389;51.49830791;91.3184;205.5248;6.3835;90.5951;-0.7233;39.030389;51.49830791;0
174;174;39.03034405;51.49824916;90.5155;205.5248;7.2437;90.5951;0.0796;39.03034405;51.49824916;0
175;175;39.03029384;51.49818353;90.5812;205.5248;8.0909;91.2541;0.6729;39.03029384;51.49818353;0
176;176;39.0302485;51.49812426;91.2819;205.5249;7.3082;91.2541;-0.0278;39.0302485;51.49812426;0
177;177;39.03020269;51.49806438;90.0425;205.5249;7.3818;91.2541;1.2116;39.03020269;51.49806438;0
178;178;39.03015534;51.49800248;89.3716;205.5249;7.6314;91.2541;1.8825;39.03015534;51.49800248;0
179;179;39.03011305;51.49794721;89.7616;205.5249;6.8149;91.1105;1.3489;39.03011305;51.49794721;0
180;180;39.03006168;51.49788006;92.1292;205.525;8.2791;90.9579;-1.1713;39.03006168;51.49788006;0
181;181;39.03001484;51.49781884;90.2979;205.525;7.5479;90.9579;0.66;39.03001484;51.49781884;0
182;182;39.02997137;51.49776202;89.9223;205.525;7.0055;90.9579;1.0356;39.02997137;51.49776202;0
183;183;39.02992018;51.4976951;91.2229;205.5251;8.2507;90.9579;-0.265;39.02992018;51.4976951;0
184;184;39.02987111;51.49763096;91.1869;205.5251;7.9073;91.4211;0.2342;39.02987111;51.49763096;0
185;185;39.02982659;51.49757277;91.2865;205.5251;7.1749;91.081;-0.2055;39.02982659;51.49757277;0
186;186;39.02977783;51.49750903;91.9473;205.5252;7.8584;91.081;-0.8663;39.02977783;51.49750903;0
187;187;39.02973282;51.4974502;90.7904;205.5252;7.2532;91.081;0.2906;39.02973282;51.4974502;0
188;188;39.029688;51.49739162;90.632;205.5252;7.2229;91.081;0.449;39.029688;51.49739162;0
189;189;39.02964101;51.49733019;91.4941;205.5252;7.5735;91.0305;-0.4636;39.02964101;51.49733019;0
190;190;39.02959265;51.49726698;90.8362;205.5253;7.7926;91.0305;0.1943;39.02959265;51.49726698;0
191;191;39.02956232;51.49719914;90.9725;195.59;7.8371;91.0305;0.058;39.02956232;51.49719914;0
192;192;39.02953636;51.49713504;89.749;194.1916;7.3556;91.0305;1.2815;39.02953636;51.49713504;0
193;193;39.02951013;51.4970703;89.4388;194.1916;7.4298;90.9655;1.5267;39.02951013;51.4970703;0
194;194;39.02948287;51.49700302;89.506;194.1916;7.7212;90.9655;1.4595;39.02948287;51.49700302;0
195;195;39.02945222;51.49692738;89.4003;194.1916;8.6802;90.9655;1.5652;39.02945222;51.49692738;0
196;196;39.02942819;51.49686806;91.958;194.1916;6.8074;90.9655;-0.9925;39.02942819;51.49686806;0
197;197;39.02940309;51.49680611;91.0448;194.1917;7.1091;90.9655;-0.0793;39.02940309;51.49680611;0
198;198;39.02937554;51.49673809;89.5037;194.1917;7.8062;91.1682;1.6645;39.02937554;51.49673809;0
199;199;39.02935148;51.49667872;92.3971;194.1917;6.8133;91.1682;-1.2289;39.02935148;51.49667872;0
200;200;39.02932514;51.4966137;89.5908;194.1917;7.4618;91.1682;1.5774;39.02932514;51.4966137;0
201;201;39.02929583;51.49654135;89.9014;194.1917;8.3034;91.1955;1.2941;39.02929583;51.49654135;0
202;202;39.02926613;51.49646806;89.6308;194.1918;8.4101;91.3088;1.678;39.02926613;51.49646806;0
203;203;39.02923664;51.49639525;90.559;194.1918;8.3558;91.3088;0.7498;39.02923664;51.49639525;0
204;204;39.02920897;51.49632697;91.428;194.1918;7.8358;91.3088;-0.1192;39.02920897;51.49632697;0
205;205;39.02918059;51.49625692;91.4752;194.1918;8.0387;91.3088;-0.1664;39.02918059;51.49625692;0
206;206;39.02914974;51.49618078;91.5271;194.1918;8.7382;91.0259;-0.5012;39.02914974;51.49618078;0
207;207;39.02911806;51.49610258;89.6889;194.1919;8.9743;91.0259;1.337;39.02911806;51.49610258;0
208;208;39.0290935;51.49604196;90.721;194.1919;6.9573;91.0259;0.3049;39.0290935;51.49604196;0
209;209;39.02906762;51.49597807;91.6753;194.1919;7.3315;91.0259;-0.6494;39.02906762;51.49597807;0
210;210;39.0290364;51.49590102;89.3278;194.1919;8.8425;90.8345;1.5067;39.0290364;51.49590102;0
211;211;39.0290118;51.49584029;90.8443;194.192;6.9695;91.1676;0.3233;39.0290118;51.49584029;0
212;212;39.02898248;51.49576792;90.1929;194.192;8.3044;91.1676;0.9747;39.02898248;51.49576792;0
213;213;39.02895246;51.49569384;90.8269;194.192;8.5022;90.9425;0.1156;39.02895246;51.49569384;0
214;214;39.02892362;51.49562266;91.4521;194.192;8.1689;90.9425;-0.5096;39.02892362;51.49562266;0
215;215;39.02889278;51.49554653;89.2617;194.192;8.7362;90.9425;1.6808;39.02889278;51.49554653;0
216;216;39.02886144;51.49546917;91.9538;194.1921;8.8775;90.9425;-1.0113;39.02886144;51.49546917;0
217;217;39.0288299;51.49539132;89.9484;194.1921;8.9347;91.2715;1.3231;39.0288299;51.49539132;0
218;218;39.02879924;51.49531564;89.9802;194.1921;8.6849;91.2715;1.2913;39.02879924;51.49531564;0
219;219;39.02877515;51.49525619;89.9367;194.1921;6.8221;91.2715;1.3348;39.02877515;51.49525619;0
220;220;39.02874771;51.49518845;90.1498;194.1921;7.7744;91.2715;1.1217;39.02874771;51.49518845;0
221;221;39.02871837;51.49511603;91.2817;194.1922;8.3102;91.3287;0.047;39.02871837;51.49511603;0
222;222;39.02869277;51.49505284;90.7198;194.1922;7.2518;91.3287;0.6089;39.02869277;51.49505284;0
223;223;39.02866683;51.49498883;89.5579;194.1922;7.3457;91.3287;1.7708;39.02866683;51.49498883;0
224;224;39.02863781;51.49491719;91.9674;194.1922;8.2223;91.3287;-0.6387;39.02863781;51.49491719;0
225;225;39.02860875;51.49484548;91.691;194.1922;8.2294;91.0492;-0.6418;39.02860875;51.49484548;0
226;226;39.02858399;51.49478435;89.4236;194.1923;7.0147;91.0492;1.6256;39.02858399;51.49478435;0
227;227;39.02855525;51.49471342;91.3332;194.1923;8.1397;91.0492;-0.284;39.02855525;51.49471342;0
228;228;39.02852501;51.49463878;91.6626;194.1923;8.5658;91.0492;-0.6134;39.02852501;51.49463878;0
229;229;39.02849775;51.49457148;90.6532;194.1923;7.7236;91.4426;0.7894;39.02849775;51.49457148;0
230;230;39.02846838;51.49449899;89.9658;194.1924;8.3195;91.2364;1.2706;39.02846838;51.49449899;0
231;231;39.02844036;51.49442983;90.6315;194.1924;7.9363;91.2364;0.6049;39.02844036;51.49442983;0
232;232;39.02841583;51.49436928;91.6601;194.1924;6.9487;91.2364;-0.4237;39.02841583;51.49436928;0
233;233;39.02838851;51.49430186;91.3861;194.1924;7.7378;91.2302;-0.1559;39.02838851;51.49430186;0
234;234;39.02835882;51.49422857;90.7956;194.1924;8.4105;91.2302;0.4346;39.02835882;51.49422857;0
235;235;39.0283291;51.49415522;92.1615;194.1925;8.4174;91.2302;-0.9313;39.0283291;51.49415522;0
236;236;39.0282982;51.49407895;89.7765;194.1925;8.7531;91.2302;1.4537;39.0282982;51.49407895;0
237;237;39.02827249;51.4940155;90.1189;194.1925;7.2816;91.3257;1.2068;39.02827249;51.4940155;0
238;238;39.02824739;51.49395354;90.2619;194.1925;7.1106;91.3257;1.0638;39.02824739;51.49395354;0
239;239;39.02821708;51.49387873;90.4701;194.1925;8.5846;91.3257;0.8556;39.02821708;51.49387873;0
240;240;39.02818523;51.49380011;90.6667;194.1926;9.0232;91.5513;0.8846;39.02818523;51.49380011;0
241;241;39.02815849;51.49373411;89.7524;194.1926;7.5737;91.163;1.4106;39.02815849;51.49373411;0
242;242;39.02812709;51.4936566;91.1797;194.1926;8.8957;91.163;-0.0167;39.02812709;51.4936566;0
243;243;39.02810134;51.49359305;91.5037;194.1926;7.293;91.163;-0.3407;39.02810134;51.49359305;0
244;244;39.02807587;51.49353019;89.9021;194.1926;7.2136;91.163;1.2609;39.02807587;51.49353019;0
245;245;39.02804603;51.49345652;90.5805;194.1927;8.454;91.1969;0.6164;39.02804603;51.49345652;0
246;246;39.0280183;51.49338809;91.5791;194.1927;7.8537;91.1969;-0.3822;39.0280183;51.49338809;0
247;247;39.02799319;51.49332611;89.6508;194.1927;7.1127;91.1969;1.5461;39.02799319;51.49332611;0
248;248;39.02796837;51.49326485;92.897;194.1927;7.0304;91.1969;-1.7001;39.02796837;51.49326485;0
249;249;39.02793809;51.4931901;92.0483;194.1927;8.5782;91.6722;-0.3761;39.02793809;51.4931901;0
250;250;39.02791006;51.49312092;93.7931;194.1928;7.9389;91.6722;-2.1209;39.02791006;51.49312092;0
251;251;39.02788312;51.49305443;91.7151;194.1928;7.631;91.6722;-0.0429;39.02788312;51.49305443;0
252;252;39.02785519;51.49298549;89.8728;194.1928;7.9107;91.6722;1.7994;39.02785519;51.49298549;0
